Município,Luminosidade
TAQUARITUBA,592
ALTINÓPOLIS,589
PAULO DE FARIA,585
PANORAMA,578
COLÔMBIA,577
RANCHARIA,576
FARTURA,573
POMPÉIA,568
CONCHAL,560
IBATÉ,552
IRACEMÁPOLIS,544
PARAGUAÇU PAULISTA,544
GUARÁ,540
CACONDE,540
NOVO HORIZONTE,536
ARIRANHA,534
CHAVANTES,531
VALPARAÍSO,530
ITAÍ,528
PRADÓPOLIS,528
MORRO AGUDO,528
RIO DAS PEDRAS,526
SERRANA,525
JUNQUEIRÓPOLIS,524
CEDRAL,513
DOIS CÓRREGOS,512
PROMISSÃO,510
AMÉRICO BRASILIENSE,509
PATROCÍNIO PAULISTA,500
BROTAS,496
IGARAÇU DO TIETÊ,491
SANTA ROSA DE VITERBO,480
CERQUEIRA CÉSAR,480
POTIRENDABA,480
HOLAMBRA,477
COLINA,468
TAMBAÚ,464
JAMBEIRO,457
ÁGUAS DA PRATA,455
PILAR DO SUL,448
PEREIRA BARRETO,448
LARANJAL PAULISTA,448
RIFAINA,444
SALTO GRANDE,441
SANTO ANTÔNIO DA ALEGRIA,439
ARAÇARIGUAMA,436
URUPÊS,435
BARRINHA,434
DUARTINA,432
CORDEIRÓPOLIS,419
EUCLIDES DA CUNHA PAULISTA,413
BASTOS,412
RUBINÉIA,411
RIVERSUL,410
ÁGUAS DE LINDÓIA,406
PAULICÉIA,401
MACATUBA,399
SALES OLIVEIRA,388
BURI,384
MONTE APRAZÍVEL,384
VALENTIM GENTIL,381
BARÃO DE ANTONINA,381
SANTA RITA DO PASSA QUATRO,376
ITIRAPINA,372
NOVA CAMPINA,368
PONTAL,368
VERA CRUZ,368
ÁLVARES MACHADO,359
SANTO ANTÔNIO DO JARDIM,357
AREALVA,354
NOVA GRANADA,352
MARTINÓPOLIS,352
PIEDADE,350
RIOLÂNDIA,337
CAJURU,336
PARANAPANEMA,336
QUATÁ,336
LUÍS ANTÔNIO,336
LUCÉLIA,336
CANITAR,331
VIRADOURO,320
FLORÍNIA,313
SANTO ANASTÁCIO,312
BORBOREMA,308
ARAPEÍ,306
ARANDU,305
MONTE AZUL PAULISTA,304
CHARQUEADA,304
CAPELA DO ALTO,304
IPUÃ,304
TAPIRATIBA,301
NARANDIBA,295
ITIRAPUÃ,294
SÃO SIMÃO,292
MIRANDÓPOLIS,292
SARAPUÍ,290
IPAUSSU,288
ITABERÁ,288
ELIAS FAUSTO,288
BOCAINA,288
ANGATUBA,288
PEDREGULHO,284
TANABI,280
POPULINA,279
IBIRÁ,276
PITANGUEIRAS,276
MORUNGABA,274
